"Task_ID","Date_Requested","Requested_By","Target_Role","Module_Section","Specification_Task","Implementation_Status","Git_Commit","Git_Branch","Verified_By","Implementation_Remarks"
"REV-001","2026-08-27","HonTech QA & Capstone Team","Assistant & SA","Master Queue","Move modules to the second level, under 'Online Booking Form'","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Updated buildNavbar for Assistant role to place Online Booking 1st and Master Queue 2nd in sidebar hierarchy."
"REV-002","2026-08-27","HonTech QA & Capstone Team","Assistant & SA","Customer History and Back-Job Lookup","Fix branch name display (e.g., 'Makati Branch' / 'Regalado' - pangalan is cut off)","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Replaced outdated branch references with 'Regalado Branch' and added responsive badge classes to prevent text truncation."
"REV-003","2026-08-27","HonTech QA & Capstone Team","Assistant & SA","Customer History and Back-Job Lookup","Clarify/remove 'Clear' button ('Ano ang purpose ng clear? Diba pag pinalitan talaga mawawala')","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Connected to clearCustomerLookupSearch() to provide 1-click search and filter reset back to the full customer list."
"REV-004","2026-08-27","HonTech QA & Capstone Team","Assistant & SA","Customer History and Back-Job Lookup","Move under 'Fast Intake Dispatch'","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Embedded Fast Intake Dispatch action card directly inside the active Customer Dossier view."
"REV-005","2026-08-27","HonTech QA & Capstone Team","Assistant & SA","Back-Job (Warranty)","Remove the word 'warranty' (It is the company's decision if it's free/covered or not)","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Renamed button to 'Back-Job Return Intake' to reflect company discretionary warranty and cost evaluation upon bay inspection."
"REV-006","2026-08-27","HonTech QA & Capstone Team","Assistant & SA","Back-Job (Warranty)","Change button behavior: Pressing it should not go directly to 'Online Booking Form'. It must ask for 'Reasons' first.","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Button now triggers #modal-backjob-reason first to capture customer complaint, category, and odometer before form dispatch."
"REV-007","2026-08-27","HonTech QA & Capstone Team","SA","Customer History & Back-Jobs","Apply the exact same revisions as the Assistant role","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Customer Lookup and Back-Job intake workflow are shared identically across Assistant and Service Advisor roles."
"REV-008","2026-08-27","HonTech QA & Capstone Team","SA","Bay Status (Capacity Configuration)","Current setup is okay, but add a setting allowing them to add more than 20 bays in the future.","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Implemented promptCustomBayCount() and flexible capacity scaling supporting 2 to 50 active service bays."
"REV-009","2026-08-27","HonTech QA & Capstone Team","SA","Daily Intakes","SA should be the one to claim the vehicle (Note marked as 'goods na' / Done)","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Added 'Assign to Me' single-owner claim with ticket takeover handover dialog (#modal-ticket-takeover) for absent advisors."
"REV-010","2026-08-27","HonTech QA & Capstone Team","Administrator","Bay Capacity","When Admin adjusts capacity, the SA should not be able to change the active bays.","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Capacity configuration card is hidden for SAs with strict RBAC guards preventing non-admin adjustments."
"REV-011","2026-08-27","HonTech QA & Capstone Team","Administrator","Bay Capacity","Allow editing to whatever number of bays the company decides.","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Admin has unrestricted control to configure capacity from 2 up to 50 bays via presets and custom dialog."
"REV-012","2026-08-27","HonTech QA & Capstone Team","Owner","Capacity Configuration","Remove ability to change capacity. Owner should only have 'View Only' access for this.","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Capacity sliders are hidden for Owner; Owner sees a 100% read-only workshop floor grid."
"REV-013","2026-08-27","HonTech QA & Capstone Team","Owner","Customer Lookup","Remove Customer Lookup from Owner. They should only receive data (Analytics only).","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Removed Customer Lookup from Owner navigation sidebar."
"REV-014","2026-08-27","HonTech QA & Capstone Team","Owner","Analytics","Add Customer Data Backjobs to Analytics.","Done","5711609","branch2-Security-Account-Recovery","Antigravity QA","Integrated Customer Back-Job Return Intelligence tab with return rates, root causes, and repeat repair audit table in Owner Analytics."
